species,decimalLatitude,decimalLongitude,eventDate,geometry
Folsomia candida,43.607328,3.860133,2021-10-11/2021-10-22,POINT (3.860133 43.607328)
Folsomia candida,43.604408,3.889122,2021-10-11/2021-10-22,POINT (3.889122 43.604408)
Folsomia candida,43.631208,3.842125,2021-10-11/2021-10-22,POINT (3.842125 43.631208)
Folsomia candida,43.597036,3.860742,2021-10-11/2021-10-22,POINT (3.860742 43.597036)
Folsomia candida,43.597036,3.860742,2021-10-11/2021-10-22,POINT (3.860742 43.597036)
Folsomia candida,43.597556,3.830811,2021-10-11/2021-10-22,POINT (3.830811 43.597556)
Folsomia candida,43.604408,3.889122,2021-10-11/2021-10-22,POINT (3.889122 43.604408)
Folsomia candida,43.631208,3.842125,2021-10-11/2021-10-22,POINT (3.842125 43.631208)
Folsomia candida,43.597556,3.830811,2021-10-11/2021-10-22,POINT (3.830811 43.597556)
Folsomia candida,43.671581,3.913039,2021-10-11/2021-10-22,POINT (3.913039 43.671581)
Folsomia candida,43.631208,3.842125,2021-10-11/2021-10-22,POINT (3.842125 43.631208)
Folsomia candida,43.608442,3.910225,2021-10-11/2021-10-22,POINT (3.910225 43.608442)
Folsomia candida,43.608442,3.910225,2021-10-11/2021-10-22,POINT (3.910225 43.608442)
Folsomia candida,43.671581,3.913039,2021-10-11/2021-10-22,POINT (3.913039 43.671581)
Folsomia candida,43.625208,3.836617,2021-10-11/2021-10-22,POINT (3.836617 43.625208)
Folsomia candida,43.604408,3.889122,2021-10-11/2021-10-22,POINT (3.889122 43.604408)
Folsomia candida,43.893912,3.853053,2024-05-13/2024-05-20,POINT (3.853053 43.893912)
Folsomia candida,43.572293,4.285785,2024-05-13/2024-05-20,POINT (4.285785 43.572293)
Folsomia candida,43.72942,4.1795,2024-05-13/2024-05-20,POINT (4.1795 43.72942)
Folsomia candida,43.7732,4.07755,2024-05-13/2024-05-20,POINT (4.07755 43.7732)
Folsomia candida,43.56229,3.72966,2024-05-13/2024-05-20,POINT (3.72966 43.56229)
Folsomia candida,43.70805,3.96819,2024-05-13/2024-05-20,POINT (3.96819 43.70805)
Folsomia candida,43.734608,4.191846,2024-05-13/2024-05-20,POINT (4.191846 43.734608)
Folsomia candida,43.88124,4.069595,2024-05-13/2024-05-20,POINT (4.069595 43.88124)
Folsomia candida,44.03213,4.2116,2024-05-13/2024-05-20,POINT (4.2116 44.03213)
Folsomia candida,43.74494,4.30572,2024-05-13/2024-05-20,POINT (4.30572 43.74494)
