LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169772	3427	Moss: vegetative regeneration	7252	Bryophyte: Vegetative regeneration: tubers	veg_tub	unknown											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169773	3427	Moss: vegetative regeneration	7253	Bryophyte: Vegetative regeneration: gemmae	veg_gem	unknown											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169774	3427	Moss: vegetative regeneration	7254	Bryophyte: Vegetative regeneration: bulbils	veg_bulb	unknown											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169775	3427	Moss: vegetative regeneration	7255	Bryophyte: Vegetative regeneration: branches	veg_bran	unknown											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169776	3427	Moss: vegetative regeneration	7256	Bryophyte: Vegetative regeneration:  leaves	veg_leav	unknown											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169748	1134	Species environmental indicator value according to Ellenberg: pH 	2078	Ellenberg indicator value: pH (reaction)	ind_R	5	dimensionless	Single				5	dimensionless			1.74378	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169744	1131	Species environmental indicator value according to Ellenberg: light	1953	Ellenberg indicator value: Light	ind_L	5	dimensionless	Single				5	dimensionless			0.274379	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169749	1133	Species environmental indicator value according to Ellenberg: nitrogen	1954	Ellenberg indicator value: nitrogen (nutrients)	ind_N	3	dimensionless	Single				3	dimensionless			0.806679	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta spathulata	314980	Encalypta spathulata	2954582	27169781	1136	Species environmental indicator value according to Ellenberg: temperature	2244	Ellenberg indicator value: temperature	ind_T	3	dimensionless	Single				3	dimensionless			1.05726	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta spathulata	314980	Encalypta spathulata	2954582	27169783	1132	Species environmental indicator value according to Ellenberg: moisture	2077	Ellenberg indicator value: Moisture	ind_F	6	dimensionless	Single				6	dimensionless			0.432867	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta spathulata	314980	Encalypta spathulata	2954582	27169790	3411	Moss: plant growth form (morphological)	7235	Bryophyte: growth form: morphological	growth_form	orthotroplagiotrop											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646	orthotrop: stems stand up vertically from the substrate; plagiotrop: shoots close to substrate, differentiation into main and lateral shoots; include thalloid bryophytes		
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta spathulata	314980	Encalypta spathulata	2954582	27169792	3413	Moss: shoot length	7237	Bryophyte: Shoot length	shoot_length	1	cm	Mean									Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta spathulata	314980	Encalypta spathulata	2954582	27169793	3414	Moss: plant life form	7238	Bryophyte: Plant life form for bryophytes	life_form	turf											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta spathulata	314980	Encalypta spathulata	2954582	27169794	3415	Moss: life strategy according to During (1979)	7239	Bryophyte: Species life strategy according to During (1979) (1)	life_strat	perennial shuttle											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta spathulata	314980	Encalypta spathulata	2954582	27169795	3416	Moss: protonema persistence	7241	Bryophyte: Species protonema persistence (bryophytes)	protonema	without permanent protonema											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta spathulata	314980	Encalypta spathulata	2954582	27169796	3417	Moss: potentially hyaline hairpoint	7242	Bryophyte: Species with potentially hyaline hairpoint (bryophytes)	hyalin_hairp	without hyaline hairpoint											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
